data,medicamento_id,consumo_unidades,dispensacao_unidades,demanda_nao_atendida,estoque_disponivel,entradas_unidades,ocupacao_leitos_pct,atendimentos_ps
2022-02-06,paracetamol,210.0,210.0,0.0,2543.78021978022,0.0,34.8,74
2022-02-07,paracetamol,162.0,162.0,0.0,2381.78021978022,0.0,38.4,63
2022-02-08,paracetamol,139.0,139.0,0.0,2242.78021978022,0.0,29.8,60
2022-02-09,paracetamol,178.0,178.0,0.0,2064.78021978022,0.0,36.1,71
2022-02-10,paracetamol,192.0,192.0,0.0,1872.7802197802198,0.0,33.8,65
2022-02-11,paracetamol,166.0,166.0,0.0,1706.7802197802198,0.0,37.7,54
2022-02-12,paracetamol,162.0,162.0,0.0,1544.7802197802198,0.0,35.2,58
2022-02-13,paracetamol,176.0,176.0,0.0,1368.7802197802198,0.0,35.4,65
2022-02-14,paracetamol,196.0,196.0,0.0,1172.7802197802198,0.0,36.2,59
2022-02-15,paracetamol,166.0,166.0,0.0,1006.7802197802198,0.0,25.8,59
2022-02-16,paracetamol,188.0,188.0,0.0,818.7802197802198,0.0,39.3,74
2022-02-17,paracetamol,187.0,187.0,0.0,631.7802197802198,0.0,45.0,67
2022-02-18,paracetamol,181.0,181.0,0.0,3089.708791208791,2638.928571428571,43.5,84
2022-02-19,paracetamol,177.0,177.0,0.0,2912.708791208791,0.0,45.7,91
2022-02-20,paracetamol,163.0,163.0,0.0,2749.708791208791,0.0,39.9,69
2022-02-21,paracetamol,200.0,200.0,0.0,2549.708791208791,0.0,43.4,75
2022-02-22,paracetamol,128.0,128.0,0.0,2421.708791208791,0.0,24.4,54
2022-02-23,paracetamol,179.0,179.0,0.0,2242.708791208791,0.0,30.3,67
2022-02-24,paracetamol,153.0,153.0,0.0,2089.708791208791,0.0,34.3,57
2022-02-25,paracetamol,160.0,160.0,0.0,1929.708791208791,0.0,32.4,62
2022-02-26,paracetamol,205.0,205.0,0.0,1724.708791208791,0.0,44.3,73
2022-02-27,paracetamol,233.0,233.0,0.0,1491.708791208791,0.0,38.2,74
2022-02-28,paracetamol,194.0,194.0,0.0,1297.708791208791,0.0,28.5,65
2022-03-01,paracetamol,213.0,213.0,0.0,1084.708791208791,0.0,33.3,71
2022-03-02,paracetamol,129.0,129.0,0.0,955.7087912087909,0.0,20.0,50
2022-03-03,paracetamol,161.0,161.0,0.0,794.7087912087909,0.0,31.1,53
2022-03-04,paracetamol,183.0,183.0,0.0,611.7087912087909,0.0,35.2,64
2022-03-05,paracetamol,227.0,227.0,0.0,384.7087912087909,0.0,40.9,83
2022-03-06,paracetamol,211.0,211.0,0.0,2867.28021978022,2693.571428571429,46.2,81
2022-03-07,paracetamol,195.0,195.0,0.0,2672.28021978022,0.0,42.1,68
2022-03-08,paracetamol,173.0,173.0,0.0,2499.28021978022,0.0,32.1,55
2022-03-09,paracetamol,190.0,190.0,0.0,2309.28021978022,0.0,27.7,65
2022-03-10,paracetamol,164.0,164.0,0.0,2145.28021978022,0.0,42.2,75
2022-03-11,paracetamol,186.0,186.0,0.0,1959.2802197802198,0.0,38.2,64
2022-03-12,paracetamol,190.0,190.0,0.0,1769.2802197802198,0.0,39.3,70
2022-03-13,paracetamol,171.0,171.0,0.0,1598.2802197802198,0.0,43.0,73
2022-03-14,paracetamol,196.0,196.0,0.0,1402.2802197802198,0.0,31.6,65
2022-03-15,paracetamol,207.0,207.0,0.0,1195.2802197802198,0.0,44.7,66
2022-03-16,paracetamol,175.0,175.0,0.0,1020.2802197802198,0.0,36.3,76
2022-03-17,paracetamol,312.0,312.0,0.0,708.2802197802198,0.0,50.5,97
2022-03-18,paracetamol,241.0,241.0,0.0,467.2802197802198,0.0,38.3,90
2022-03-19,paracetamol,289.0,289.0,0.0,2952.208791208791,2773.928571428571,54.3,127
2022-03-20,paracetamol,308.0,308.0,0.0,2644.208791208791,0.0,57.4,108
2022-03-21,paracetamol,337.0,337.0,0.0,2307.208791208791,0.0,61.8,141
2022-03-22,paracetamol,348.0,348.0,0.0,1959.208791208791,0.0,73.2,161
2022-03-23,paracetamol,226.0,226.0,0.0,1733.208791208791,0.0,41.1,76
2022-03-24,paracetamol,230.0,230.0,0.0,1503.208791208791,0.0,43.2,86
2022-03-25,paracetamol,259.0,259.0,0.0,1244.208791208791,0.0,50.5,90
2022-03-26,paracetamol,244.0,244.0,0.0,1000.2087912087909,0.0,45.5,94
2022-03-27,paracetamol,303.0,303.0,0.0,697.2087912087909,0.0,49.8,124
2022-03-28,paracetamol,267.0,267.0,0.0,430.2087912087909,0.0,46.0,102
2022-03-29,paracetamol,266.0,266.0,0.0,3753.494505494505,3589.285714285714,47.6,91
2022-03-30,paracetamol,270.0,270.0,0.0,3483.494505494505,0.0,47.0,91
2022-03-31,paracetamol,262.0,262.0,0.0,3221.494505494505,0.0,38.8,90
2022-04-01,paracetamol,303.0,303.0,0.0,2918.494505494505,0.0,46.3,102
2022-04-02,paracetamol,295.0,295.0,0.0,2623.494505494505,0.0,48.3,106
2022-04-03,paracetamol,271.0,271.0,0.0,2352.494505494505,0.0,49.2,106
2022-04-04,paracetamol,283.0,283.0,0.0,2069.494505494505,0.0,44.1,103
2022-04-05,paracetamol,195.0,195.0,0.0,1874.4945054945051,0.0,38.0,77
2022-04-06,paracetamol,217.0,217.0,0.0,1657.4945054945051,0.0,40.0,84
2022-04-07,paracetamol,269.0,269.0,0.0,1388.4945054945051,0.0,56.2,113
2022-04-08,paracetamol,341.0,341.0,0.0,1047.4945054945051,0.0,55.3,110
2022-04-09,paracetamol,408.0,408.0,0.0,639.4945054945051,0.0,69.6,162
2022-04-10,paracetamol,354.0,354.0,0.0,4385.851648351647,4100.357142857142,72.2,172
2022-04-11,paracetamol,389.0,389.0,0.0,3996.851648351647,0.0,66.9,151
2022-04-12,paracetamol,417.0,417.0,0.0,3579.851648351647,0.0,66.6,161
2022-04-13,paracetamol,374.0,374.0,0.0,3205.851648351647,0.0,59.3,144
2022-04-14,paracetamol,390.0,390.0,0.0,2815.851648351647,0.0,60.5,145
2022-04-15,paracetamol,391.0,391.0,0.0,2424.851648351647,0.0,67.7,162
2022-04-16,paracetamol,402.0,402.0,0.0,2022.8516483516469,0.0,60.7,148
2022-04-17,paracetamol,393.0,393.0,0.0,1629.8516483516469,0.0,74.7,173
2022-04-18,paracetamol,387.0,387.0,0.0,1242.8516483516469,0.0,65.1,139
2022-04-19,paracetamol,467.0,467.0,0.0,775.8516483516469,0.0,66.7,170
2022-04-20,paracetamol,332.0,332.0,0.0,443.8516483516469,0.0,70.3,162
2022-04-21,paracetamol,527.0,443.8516483516469,83.14835164835313,0.0,0.0,81.6,197
2022-04-22,paracetamol,393.0,393.0,0.0,4529.142857142858,4922.142857142858,73.7,168
2022-04-23,paracetamol,380.0,380.0,0.0,4149.142857142858,0.0,67.0,153
2022-04-24,paracetamol,338.0,338.0,0.0,3811.142857142858,0.0,65.1,164
2022-04-25,paracetamol,449.0,449.0,0.0,3362.142857142858,0.0,68.3,171
2022-04-26,paracetamol,395.0,395.0,0.0,2967.142857142858,0.0,67.5,154
2022-04-27,paracetamol,318.0,318.0,0.0,2649.142857142858,0.0,55.1,107
2022-04-28,paracetamol,288.0,288.0,0.0,2361.142857142858,0.0,41.1,104
2022-04-29,paracetamol,344.0,344.0,0.0,2017.1428571428578,0.0,55.9,117
2022-04-30,paracetamol,305.0,305.0,0.0,1712.1428571428578,0.0,59.6,118
2022-05-01,paracetamol,369.0,369.0,0.0,1343.1428571428578,0.0,65.1,149
2022-05-02,paracetamol,316.0,316.0,0.0,7046.428571428572,6019.285714285714,60.5,128
2022-05-03,paracetamol,343.0,343.0,0.0,6703.428571428572,0.0,56.9,132
2022-05-04,paracetamol,381.0,381.0,0.0,6322.428571428572,0.0,56.1,123
2022-05-05,paracetamol,315.0,315.0,0.0,6007.428571428572,0.0,51.5,127
2022-05-06,paracetamol,318.0,318.0,0.0,5689.428571428572,0.0,49.3,129
2022-05-07,paracetamol,424.0,424.0,0.0,5265.428571428572,0.0,74.7,164
2022-05-08,paracetamol,295.0,295.0,0.0,4970.428571428572,0.0,49.8,115
2022-05-09,paracetamol,221.0,221.0,0.0,4749.428571428572,0.0,41.5,85
2022-05-10,paracetamol,217.0,217.0,0.0,4532.428571428572,0.0,35.6,79
2022-05-11,paracetamol,232.0,232.0,0.0,4300.428571428572,0.0,37.6,85
2022-05-12,paracetamol,209.0,209.0,0.0,4091.4285714285716,0.0,41.9,83
2022-05-13,paracetamol,265.0,265.0,0.0,3826.4285714285716,0.0,43.5,94
2022-05-14,paracetamol,252.0,252.0,0.0,3574.4285714285716,0.0,50.4,101
2022-05-15,paracetamol,211.0,211.0,0.0,3363.4285714285716,0.0,51.4,103
2022-05-16,paracetamol,236.0,236.0,0.0,3127.4285714285716,0.0,46.7,91
2022-05-17,paracetamol,253.0,253.0,0.0,2874.4285714285716,0.0,49.1,99
2022-05-18,paracetamol,286.0,286.0,0.0,2588.4285714285716,0.0,56.2,104
2022-05-19,paracetamol,324.0,324.0,0.0,2264.4285714285716,0.0,47.1,108
2022-05-20,paracetamol,370.0,370.0,0.0,1894.4285714285716,0.0,57.4,126
2022-05-21,paracetamol,296.0,296.0,0.0,1598.4285714285716,0.0,56.2,109
2022-05-22,paracetamol,240.0,240.0,0.0,1358.4285714285716,0.0,51.5,94
2022-05-23,paracetamol,170.0,170.0,0.0,1188.4285714285716,0.0,39.3,90
2022-05-24,paracetamol,248.0,248.0,0.0,940.4285714285716,0.0,51.5,112
2022-05-25,paracetamol,218.0,218.0,0.0,4788.5,4066.0714285714284,53.3,98
2022-05-26,paracetamol,270.0,270.0,0.0,4518.5,0.0,51.6,103
2022-05-27,paracetamol,208.0,208.0,0.0,4310.5,0.0,45.1,88
2022-05-28,paracetamol,235.0,235.0,0.0,4075.5,0.0,48.7,103
2022-05-29,paracetamol,318.0,318.0,0.0,3757.5,0.0,59.6,136
2022-05-30,paracetamol,287.0,287.0,0.0,3470.5,0.0,56.0,118
2022-05-31,paracetamol,256.0,256.0,0.0,3214.5,0.0,45.4,94
2022-06-01,paracetamol,258.0,258.0,0.0,2956.5,0.0,47.7,98
2022-06-02,paracetamol,216.0,216.0,0.0,2740.5,0.0,48.5,99
2022-06-03,paracetamol,249.0,249.0,0.0,2491.5,0.0,46.5,102
2022-06-04,paracetamol,295.0,295.0,0.0,2196.5,0.0,61.9,132
2022-06-05,paracetamol,388.0,388.0,0.0,1808.5,0.0,82.2,163
2022-06-06,paracetamol,294.0,294.0,0.0,1514.5,0.0,47.4,117
2022-06-07,paracetamol,285.0,285.0,0.0,1229.5,0.0,58.6,125
2022-06-08,paracetamol,236.0,236.0,0.0,993.5,0.0,44.8,98
2022-06-09,paracetamol,229.0,229.0,0.0,764.5,0.0,51.2,101
2022-06-10,paracetamol,220.0,220.0,0.0,544.5,0.0,42.8,83
2022-06-11,paracetamol,283.0,283.0,0.0,4135.785714285714,3874.285714285714,56.8,115
2022-06-12,paracetamol,371.0,371.0,0.0,3764.7857142857138,0.0,63.4,129
2022-06-13,paracetamol,266.0,266.0,0.0,3498.7857142857138,0.0,54.2,114
2022-06-14,paracetamol,282.0,282.0,0.0,3216.7857142857138,0.0,55.9,108
2022-06-15,paracetamol,239.0,239.0,0.0,2977.7857142857138,0.0,40.2,103
2022-06-16,paracetamol,301.0,301.0,0.0,2676.7857142857138,0.0,54.9,100
2022-06-17,paracetamol,288.0,288.0,0.0,2388.7857142857138,0.0,52.8,108
2022-06-18,paracetamol,276.0,276.0,0.0,2112.7857142857138,0.0,58.1,115
2022-06-19,paracetamol,271.0,271.0,0.0,1841.7857142857138,0.0,51.0,121
2022-06-20,paracetamol,253.0,253.0,0.0,1588.7857142857138,0.0,48.7,110
2022-06-21,paracetamol,291.0,291.0,0.0,1297.7857142857138,0.0,54.0,114
2022-06-22,paracetamol,232.0,232.0,0.0,1065.7857142857138,0.0,50.6,106
2022-06-23,paracetamol,217.0,217.0,0.0,848.7857142857138,0.0,49.0,98
2022-06-24,paracetamol,194.0,194.0,0.0,4895.5,4240.714285714286,48.3,87
2022-06-25,paracetamol,275.0,275.0,0.0,4620.5,0.0,44.6,109
2022-06-26,paracetamol,347.0,347.0,0.0,4273.5,0.0,66.4,140
2022-06-27,paracetamol,251.0,251.0,0.0,4022.5,0.0,52.4,111
2022-06-28,paracetamol,283.0,283.0,0.0,3739.5,0.0,48.1,101
2022-06-29,paracetamol,275.0,275.0,0.0,3464.5,0.0,41.2,96
2022-06-30,paracetamol,292.0,292.0,0.0,3172.5,0.0,55.8,115
2022-07-01,paracetamol,282.0,282.0,0.0,2890.5,0.0,38.5,99
2022-07-02,paracetamol,315.0,315.0,0.0,2575.5,0.0,58.1,120
2022-07-03,paracetamol,299.0,299.0,0.0,2276.5,0.0,51.7,126
2022-07-04,paracetamol,265.0,265.0,0.0,2011.5,0.0,62.7,140
2022-07-05,paracetamol,255.0,255.0,0.0,1756.5,0.0,53.0,114
2022-07-06,paracetamol,262.0,262.0,0.0,1494.5,0.0,56.7,110
2022-07-07,paracetamol,210.0,210.0,0.0,1284.5,0.0,46.1,95
2022-07-08,paracetamol,214.0,214.0,0.0,1070.5,0.0,43.0,92
2022-07-09,paracetamol,348.0,348.0,0.0,4813.214285714286,4090.714285714286,60.5,140
2022-07-10,paracetamol,306.0,306.0,0.0,4507.214285714286,0.0,66.9,138
2022-07-11,paracetamol,258.0,258.0,0.0,4249.214285714286,0.0,56.3,116
2022-07-12,paracetamol,197.0,197.0,0.0,4052.2142857142862,0.0,44.5,93
2022-07-13,paracetamol,292.0,292.0,0.0,3760.2142857142862,0.0,56.7,126
2022-07-14,paracetamol,200.0,200.0,0.0,3560.2142857142862,0.0,40.2,94
2022-07-15,paracetamol,248.0,248.0,0.0,3312.2142857142862,0.0,48.3,95
2022-07-16,paracetamol,325.0,325.0,0.0,2987.2142857142862,0.0,50.6,126
2022-07-17,paracetamol,273.0,273.0,0.0,2714.2142857142862,0.0,56.1,113
2022-07-18,paracetamol,218.0,218.0,0.0,2496.2142857142862,0.0,47.6,96
2022-07-19,paracetamol,234.0,234.0,0.0,2262.2142857142862,0.0,54.6,90
2022-07-20,paracetamol,240.0,240.0,0.0,2022.2142857142862,0.0,43.1,97
2022-07-21,paracetamol,258.0,258.0,0.0,1764.2142857142862,0.0,57.9,128
2022-07-22,paracetamol,209.0,209.0,0.0,1555.2142857142862,0.0,52.6,91
2022-07-23,paracetamol,298.0,298.0,0.0,1257.2142857142862,0.0,56.8,110
2022-07-24,paracetamol,199.0,199.0,0.0,1058.2142857142862,0.0,42.6,91
2022-07-25,paracetamol,235.0,235.0,0.0,823.2142857142862,0.0,58.5,126
2022-07-26,paracetamol,196.0,196.0,0.0,4444.714285714286,3817.5,49.6,103
2022-07-27,paracetamol,229.0,229.0,0.0,4215.714285714286,0.0,46.5,91
2022-07-28,paracetamol,195.0,195.0,0.0,4020.7142857142862,0.0,46.4,102
2022-07-29,paracetamol,217.0,217.0,0.0,3803.7142857142862,0.0,43.6,87
2022-07-30,paracetamol,270.0,270.0,0.0,3533.7142857142862,0.0,47.0,114
2022-07-31,paracetamol,240.0,240.0,0.0,3293.7142857142862,0.0,43.5,84
2022-08-01,paracetamol,222.0,222.0,0.0,3071.7142857142862,0.0,47.2,91
2022-08-02,paracetamol,223.0,223.0,0.0,2848.7142857142862,0.0,48.0,101
2022-08-03,paracetamol,192.0,192.0,0.0,2656.7142857142862,0.0,43.8,105
2022-08-04,paracetamol,270.0,270.0,0.0,2386.7142857142862,0.0,62.6,129
2022-08-05,paracetamol,272.0,272.0,0.0,2114.7142857142862,0.0,65.4,144
2022-08-06,paracetamol,295.0,295.0,0.0,1819.7142857142862,0.0,49.8,112
2022-08-07,paracetamol,236.0,236.0,0.0,1583.7142857142862,0.0,45.0,93
2022-08-08,paracetamol,220.0,220.0,0.0,1363.7142857142862,0.0,39.4,91
2022-08-09,paracetamol,236.0,236.0,0.0,1127.7142857142862,0.0,38.5,83
2022-08-10,paracetamol,209.0,209.0,0.0,918.7142857142862,0.0,54.8,124
2022-08-11,paracetamol,234.0,234.0,0.0,4172.214285714286,3487.5,51.7,95
2022-08-12,paracetamol,185.0,185.0,0.0,3987.2142857142862,0.0,46.3,101
2022-08-13,paracetamol,243.0,243.0,0.0,3744.2142857142862,0.0,60.5,127
2022-08-14,paracetamol,246.0,246.0,0.0,3498.2142857142862,0.0,54.4,123
2022-08-15,paracetamol,302.0,302.0,0.0,3196.2142857142862,0.0,59.0,127
2022-08-16,paracetamol,248.0,248.0,0.0,2948.2142857142862,0.0,47.6,99
2022-08-17,paracetamol,185.0,185.0,0.0,2763.2142857142862,0.0,45.7,82
2022-08-18,paracetamol,205.0,205.0,0.0,2558.2142857142862,0.0,41.5,86
2022-08-19,paracetamol,177.0,177.0,0.0,2381.2142857142862,0.0,32.8,73
2022-08-20,paracetamol,226.0,226.0,0.0,2155.2142857142862,0.0,43.4,101
2022-08-21,paracetamol,221.0,221.0,0.0,1934.2142857142862,0.0,43.6,92
2022-08-22,paracetamol,230.0,230.0,0.0,1704.2142857142862,0.0,42.8,98
2022-08-23,paracetamol,188.0,188.0,0.0,1516.2142857142862,0.0,44.2,83
2022-08-24,paracetamol,190.0,190.0,0.0,1326.2142857142862,0.0,36.9,72
2022-08-25,paracetamol,171.0,171.0,0.0,1155.2142857142862,0.0,43.7,59
2022-08-26,paracetamol,155.0,155.0,0.0,1000.2142857142862,0.0,29.7,66
2022-08-27,paracetamol,189.0,189.0,0.0,811.2142857142862,0.0,43.0,82
2022-08-28,paracetamol,226.0,226.0,0.0,3957.0,3371.785714285714,41.6,93
2022-08-29,paracetamol,191.0,191.0,0.0,3766.0,0.0,36.4,71
2022-08-30,paracetamol,199.0,199.0,0.0,3567.0,0.0,42.8,82
2022-08-31,paracetamol,155.0,155.0,0.0,3412.0,0.0,24.9,59
2022-09-01,paracetamol,149.0,149.0,0.0,3263.0,0.0,35.1,59
2022-09-02,paracetamol,292.0,292.0,0.0,2971.0,0.0,57.2,103
2022-09-03,paracetamol,191.0,191.0,0.0,2780.0,0.0,36.9,72
2022-09-04,paracetamol,187.0,187.0,0.0,2593.0,0.0,42.6,80
2022-09-05,paracetamol,276.0,276.0,0.0,2317.0,0.0,51.2,96
2022-09-06,paracetamol,280.0,280.0,0.0,2037.0,0.0,44.0,89
2022-09-07,paracetamol,182.0,182.0,0.0,1855.0,0.0,44.8,96
2022-09-08,paracetamol,175.0,175.0,0.0,1680.0,0.0,31.4,77
2022-09-09,paracetamol,190.0,190.0,0.0,1490.0,0.0,45.5,84
2022-09-10,paracetamol,254.0,254.0,0.0,1236.0,0.0,52.6,113
2022-09-11,paracetamol,178.0,178.0,0.0,1058.0,0.0,40.3,88
2022-09-12,paracetamol,190.0,190.0,0.0,868.0,0.0,40.3,75
2022-09-13,paracetamol,224.0,224.0,0.0,644.0,0.0,43.0,91
2022-09-14,paracetamol,192.0,192.0,0.0,452.0,0.0,38.7,78
2022-09-15,paracetamol,179.0,179.0,0.0,273.0,0.0,34.5,53
2022-09-16,paracetamol,174.0,174.0,0.0,3186.857142857143,3087.857142857143,33.7,73
2022-09-17,paracetamol,158.0,158.0,0.0,3028.857142857143,0.0,46.4,82
2022-09-18,paracetamol,226.0,226.0,0.0,2802.857142857143,0.0,36.6,82
2022-09-19,paracetamol,198.0,198.0,0.0,2604.857142857143,0.0,33.3,64
2022-09-20,paracetamol,240.0,240.0,0.0,2364.857142857143,0.0,56.6,101
2022-09-21,paracetamol,236.0,236.0,0.0,2128.857142857143,0.0,45.0,77
2022-09-22,paracetamol,271.0,271.0,0.0,1857.8571428571431,0.0,45.8,91
2022-09-23,paracetamol,435.0,435.0,0.0,1422.8571428571431,0.0,60.2,144
2022-09-24,paracetamol,344.0,344.0,0.0,1078.8571428571431,0.0,69.5,166
2022-09-25,paracetamol,386.0,386.0,0.0,692.8571428571431,0.0,68.8,157
2022-09-26,paracetamol,352.0,352.0,0.0,340.8571428571431,0.0,58.5,128
2022-09-27,paracetamol,345.0,340.8571428571431,4.142857142856883,0.0,0.0,61.8,139
2022-09-28,paracetamol,313.0,313.0,0.0,3067.357142857143,3380.357142857143,56.1,122
2022-09-29,paracetamol,399.0,399.0,0.0,2668.357142857143,0.0,61.7,140
2022-09-30,paracetamol,348.0,348.0,0.0,2320.357142857143,0.0,54.0,132
2022-10-01,paracetamol,515.0,515.0,0.0,1805.3571428571431,0.0,72.0,173
2022-10-02,paracetamol,479.0,479.0,0.0,1326.3571428571431,0.0,76.7,170
2022-10-03,paracetamol,373.0,373.0,0.0,953.3571428571431,0.0,57.1,140
2022-10-04,paracetamol,330.0,330.0,0.0,623.3571428571431,0.0,54.1,118
2022-10-05,paracetamol,332.0,332.0,0.0,291.3571428571431,0.0,56.8,133
2022-10-06,paracetamol,364.0,291.3571428571431,72.64285714285688,0.0,0.0,62.6,139
2022-10-07,paracetamol,371.0,371.0,0.0,4183.642857142858,4554.642857142858,64.8,151
2022-10-08,paracetamol,423.0,423.0,0.0,3760.642857142858,0.0,72.6,152
2022-10-09,paracetamol,300.0,300.0,0.0,3460.642857142858,0.0,64.9,141
2022-10-10,paracetamol,359.0,359.0,0.0,3101.642857142858,0.0,59.4,146
2022-10-11,paracetamol,355.0,355.0,0.0,2746.642857142858,0.0,69.8,153
2022-10-12,paracetamol,347.0,347.0,0.0,2399.642857142858,0.0,68.2,165
2022-10-13,paracetamol,317.0,317.0,0.0,2082.642857142858,0.0,57.1,131
2022-10-14,paracetamol,356.0,356.0,0.0,1726.6428571428578,0.0,64.1,141
2022-10-15,paracetamol,387.0,387.0,0.0,1339.6428571428578,0.0,71.4,171
2022-10-16,paracetamol,339.0,339.0,0.0,6637.428571428572,5636.785714285714,70.0,151
2022-10-17,paracetamol,323.0,323.0,0.0,6314.428571428572,0.0,56.3,131
2022-10-18,paracetamol,326.0,326.0,0.0,5988.428571428572,0.0,52.7,119
2022-10-19,paracetamol,358.0,358.0,0.0,5630.428571428572,0.0,53.6,122
2022-10-20,paracetamol,372.0,372.0,0.0,5258.428571428572,0.0,62.4,146
2022-10-21,paracetamol,227.0,227.0,0.0,5031.428571428572,0.0,53.3,101
2022-10-22,paracetamol,256.0,256.0,0.0,4775.428571428572,0.0,47.2,89
2022-10-23,paracetamol,299.0,299.0,0.0,4476.428571428572,0.0,55.7,101
2022-10-24,paracetamol,369.0,369.0,0.0,4107.428571428572,0.0,72.7,143
2022-10-25,paracetamol,285.0,285.0,0.0,3822.4285714285716,0.0,50.7,118
2022-10-26,paracetamol,289.0,289.0,0.0,3533.4285714285716,0.0,59.0,129
2022-10-27,paracetamol,249.0,249.0,0.0,3284.4285714285716,0.0,38.2,84
2022-10-28,paracetamol,302.0,302.0,0.0,2982.4285714285716,0.0,43.3,94
2022-10-29,paracetamol,203.0,203.0,0.0,2779.4285714285716,0.0,42.9,91
2022-10-30,paracetamol,296.0,296.0,0.0,2483.4285714285716,0.0,46.8,107
2022-10-31,paracetamol,239.0,239.0,0.0,2244.4285714285716,0.0,38.0,82
2022-11-01,paracetamol,236.0,236.0,0.0,2008.4285714285716,0.0,45.9,94
2022-11-02,paracetamol,242.0,242.0,0.0,1766.4285714285716,0.0,43.0,98
2022-11-03,paracetamol,205.0,205.0,0.0,1561.4285714285716,0.0,44.9,80
2022-11-04,paracetamol,271.0,271.0,0.0,1290.4285714285716,0.0,43.1,95
2022-11-05,paracetamol,280.0,280.0,0.0,1010.4285714285716,0.0,61.2,104
2022-11-06,paracetamol,308.0,308.0,0.0,5063.142857142858,4360.714285714286,53.7,120
2022-11-07,paracetamol,205.0,205.0,0.0,4858.142857142858,0.0,37.6,68
2022-11-08,paracetamol,162.0,162.0,0.0,4696.142857142858,0.0,31.1,65
2022-11-09,paracetamol,227.0,227.0,0.0,4469.142857142858,0.0,48.4,80
2022-11-10,paracetamol,194.0,194.0,0.0,4275.142857142858,0.0,39.4,61
2022-11-11,paracetamol,216.0,216.0,0.0,4059.142857142858,0.0,38.2,67
2022-11-12,paracetamol,182.0,182.0,0.0,3877.142857142858,0.0,33.0,71
2022-11-13,paracetamol,196.0,196.0,0.0,3681.142857142858,0.0,41.0,76
2022-11-14,paracetamol,144.0,144.0,0.0,3537.142857142858,0.0,26.5,50
2022-11-15,paracetamol,294.0,294.0,0.0,3243.142857142858,0.0,59.6,115
2022-11-16,paracetamol,192.0,192.0,0.0,3051.142857142858,0.0,40.2,67
2022-11-17,paracetamol,267.0,267.0,0.0,2784.142857142858,0.0,48.6,99
2022-11-18,paracetamol,225.0,225.0,0.0,2559.142857142858,0.0,35.3,90
