data,medicamento_id,consumo_unidades,estoque_disponivel,entradas_unidades,ocupacao_leitos_pct,atendimentos_ps,temperatura_media,chuva_mm,casos_dengue_regiao,feriado
2022-01-29,adrenalina_inj,5.0,75.0,0.0,50.9,133,24.7,31.9,7.571428571428571,False
2022-01-30,adrenalina_inj,3.0,72.0,0.0,46.4,129,27.1,1.9,7.0,False
2022-01-01,amoxicilina,60.0,960.0,0.0,42.8,120,27.7,1.1,5.857142857142857,True
2022-01-02,amoxicilina,46.0,914.0,0.0,34.6,98,27.5,1.2,5.857142857142857,False
2022-01-03,amoxicilina,66.0,848.0,0.0,45.8,115,26.8,1.2,5.857142857142857,False
2022-01-04,amoxicilina,56.0,792.0,0.0,45.8,109,27.7,1.3,5.857142857142857,False
2022-01-05,amoxicilina,49.0,743.0,0.0,37.8,97,25.9,10.0,5.857142857142857,False
2022-01-06,amoxicilina,49.0,694.0,0.0,29.0,87,27.2,1.9,5.857142857142857,False
2022-01-07,amoxicilina,46.0,648.0,0.0,31.1,94,27.6,0.8,5.857142857142857,False
2022-01-08,amoxicilina,62.0,586.0,0.0,33.3,101,27.6,0.8,5.857142857142857,False
2022-01-09,amoxicilina,66.0,520.0,0.0,32.6,103,27.7,0.1,7.0,False
2022-01-10,amoxicilina,48.0,472.0,0.0,37.4,95,26.7,4.6,7.0,False
2022-01-11,amoxicilina,49.0,423.0,0.0,42.8,99,26.6,4.7,7.0,False
2022-01-12,amoxicilina,66.0,357.0,0.0,38.3,99,26.2,6.2,7.0,False
2022-01-13,amoxicilina,60.0,297.0,0.0,27.9,95,26.3,4.3,7.0,False
2022-01-14,amoxicilina,55.0,242.0,0.0,38.3,101,25.6,8.0,7.0,False
2022-01-15,amoxicilina,37.0,205.0,0.0,41.2,109,24.6,15.6,7.0,False
2022-01-16,amoxicilina,51.0,1098.4444444444443,944.4444444444443,47.0,100,26.3,0.5,9.142857142857142,False
2022-01-17,amoxicilina,53.0,1045.4444444444443,0.0,33.2,101,27.1,0.3,9.142857142857142,False
2022-01-18,amoxicilina,44.0,1001.4444444444443,0.0,33.3,89,27.2,2.3,9.142857142857142,False
2022-01-19,amoxicilina,57.0,944.4444444444443,0.0,44.8,98,27.2,0.1,9.142857142857142,False
2022-01-20,amoxicilina,52.0,892.4444444444443,0.0,45.7,115,27.2,0.8,9.142857142857142,False
2022-01-21,amoxicilina,47.0,845.4444444444443,0.0,38.8,94,26.4,4.3,9.142857142857142,False
2022-01-22,amoxicilina,49.0,796.4444444444443,0.0,43.7,113,27.2,1.6,9.142857142857142,False
2022-01-23,amoxicilina,75.0,721.4444444444443,0.0,47.7,122,27.5,0.5,7.571428571428571,False
2022-01-24,amoxicilina,71.0,650.4444444444443,0.0,45.3,110,27.6,2.4,7.571428571428571,False
2022-01-25,amoxicilina,54.0,596.4444444444443,0.0,32.3,91,28.3,1.3,7.571428571428571,False
2022-01-26,amoxicilina,41.0,555.4444444444443,0.0,39.7,93,27.1,5.8,7.571428571428571,False
2022-01-27,amoxicilina,54.0,501.44444444444434,0.0,32.5,98,25.7,13.5,7.571428571428571,False
2022-01-28,amoxicilina,52.0,449.44444444444434,0.0,39.3,98,24.7,22.9,7.571428571428571,False
2022-01-29,amoxicilina,106.0,343.44444444444434,0.0,50.9,133,24.7,31.9,7.571428571428571,False
2022-01-30,amoxicilina,60.0,283.44444444444434,0.0,46.4,129,27.1,1.9,7.0,False
2022-01-01,azitromicina,48.0,768.0,0.0,42.8,120,27.7,1.1,5.857142857142857,True
2022-01-02,azitromicina,40.0,728.0,0.0,34.6,98,27.5,1.2,5.857142857142857,False
2022-01-03,azitromicina,54.0,674.0,0.0,45.8,115,26.8,1.2,5.857142857142857,False
2022-01-04,azitromicina,50.0,624.0,0.0,45.8,109,27.7,1.3,5.857142857142857,False
2022-01-05,azitromicina,39.0,585.0,0.0,37.8,97,25.9,10.0,5.857142857142857,False
2022-01-06,azitromicina,36.0,549.0,0.0,29.0,87,27.2,1.9,5.857142857142857,False
2022-01-07,azitromicina,38.0,511.0,0.0,31.1,94,27.6,0.8,5.857142857142857,False
2022-01-08,azitromicina,40.0,471.0,0.0,33.3,101,27.6,0.8,5.857142857142857,False
2022-01-09,azitromicina,42.0,429.0,0.0,32.6,103,27.7,0.1,7.0,False
2022-01-10,azitromicina,37.0,392.0,0.0,37.4,95,26.7,4.6,7.0,False
2022-01-11,azitromicina,51.0,341.0,0.0,42.8,99,26.6,4.7,7.0,False
2022-01-12,azitromicina,28.0,313.0,0.0,38.3,99,26.2,6.2,7.0,False
2022-01-13,azitromicina,37.0,276.0,0.0,27.9,95,26.3,4.3,7.0,False
2022-01-14,azitromicina,55.0,221.0,0.0,38.3,101,25.6,8.0,7.0,False
2022-01-15,azitromicina,42.0,179.0,0.0,41.2,109,24.6,15.6,7.0,False
2022-01-16,azitromicina,40.0,870.0,731.0,47.0,100,26.3,0.5,9.142857142857142,False
2022-01-17,azitromicina,33.0,837.0,0.0,33.2,101,27.1,0.3,9.142857142857142,False
2022-01-18,azitromicina,43.0,794.0,0.0,33.3,89,27.2,2.3,9.142857142857142,False
2022-01-19,azitromicina,28.0,766.0,0.0,44.8,98,27.2,0.1,9.142857142857142,False
2022-01-20,azitromicina,42.0,724.0,0.0,45.7,115,27.2,0.8,9.142857142857142,False
2022-01-21,azitromicina,47.0,677.0,0.0,38.8,94,26.4,4.3,9.142857142857142,False
2022-01-22,azitromicina,45.0,632.0,0.0,43.7,113,27.2,1.6,9.142857142857142,False
2022-01-23,azitromicina,62.0,570.0,0.0,47.7,122,27.5,0.5,7.571428571428571,False
2022-01-24,azitromicina,46.0,524.0,0.0,45.3,110,27.6,2.4,7.571428571428571,False
2022-01-25,azitromicina,33.0,491.0,0.0,32.3,91,28.3,1.3,7.571428571428571,False
2022-01-26,azitromicina,48.0,443.0,0.0,39.7,93,27.1,5.8,7.571428571428571,False
2022-01-27,azitromicina,56.0,387.0,0.0,32.5,98,25.7,13.5,7.571428571428571,False
2022-01-28,azitromicina,50.0,337.0,0.0,39.3,98,24.7,22.9,7.571428571428571,False
2022-01-29,azitromicina,56.0,281.0,0.0,50.9,133,24.7,31.9,7.571428571428571,False
2022-01-30,azitromicina,61.0,220.0,0.0,46.4,129,27.1,1.9,7.0,False
